,artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers
96,Force Majeure,Out Of My Mind - 2022 Remaster,5oFsYgfoaWsfQsEqq4ueSe,18,1drqRRsMP1G1d5ujunbBRp,5,[],19
97,Megan Thee Stallion,Sweetest Pie,7mFj0LlWtEJaEigguaWqYh,87,181bsRPaVXVlUKXrxwZfHK,80,"['dance pop', 'houston rap', 'pop', 'trap queen']",6832658
98,Elton John,Cold Heart - PNAU Remix,4Rfyd7l9GhfpOvpKAaVg8S,21,3PhoLpVuITZKcymswpck5b,82,"['glam rock', 'mellow gold', 'piano rock']",9681988
99,Future,PUFFIN ON ZOOTIEZ,1qMMYpVatbRITKCfq1gasi,82,1RyvyyTE3xzB2ZywiAwp0i,87,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",11862509
100,Master,Line to Kill - Remaster 2022,07YCdWDFpifgVQSSjEA3JS,10,2nEopdTfDVIY9e2UipMKNj,20,"['death metal', 'deathrash', 'grim death metal']",26815
101,Cole Swindell,She Had Me At Heads Carolina,200x8ONbPfFzByUr3fVz46,80,1mfDfLsMxYcOOZkzBxvSVW,68,"['contemporary country', 'country', 'country road', 'modern country rock']",1836630
102,Master,Race to Extinction - Remaster 2022,57EB7KVs5VYoEipWwXZ7vB,8,2nEopdTfDVIY9e2UipMKNj,20,"['death metal', 'deathrash', 'grim death metal']",26815
103,Post Malone,Cooped Up (with Roddy Ricch),7DwcBgdzqhFJltEaV1XF81,86,246dkjvS1zLTtiykXe5h60,89,"['dfw rap', 'melodic rap', 'rap']",37561583
104,Avery Alexander,Stealth (10 Year Anniversary Edition),4vhI1QMQdiugqqyCCSqaf0,9,46TW0DqUZPnHMk7lTooQ7q,25,[],1586
105,Harry Styles,Keep Driving,2NcQic8JxdjAlAHuNbOIRE,86,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648
106,Master,Betrayal - Remaster 2022,5yj1dm48yVNOfJyiWt5RUv,4,2nEopdTfDVIY9e2UipMKNj,20,"['death metal', 'deathrash', 'grim death metal']",26815
107,Bailey Zimmerman,Rock and A Hard Place,4686eQ81DEswHa90bcdlC9,80,3win9vGIxFfBRag9S63wwf,68,['contemporary country'],132852
108,Womack & Womack,Teardrops,14mRtbBGeqILGZI1r49Uv5,27,7qShKycqNUP0GLEiTENDVZ,53,"['disco', 'post-disco', 'quiet storm', 'soul']",76404
109,Jack Harlow,Dua Lipa,0LnS7aOdOdI1dNKZqdOLz4,83,2LIk90788K0zvyj2JJVwkJ,85,"['deep underground hip hop', 'kentucky hip hop', 'rap']",2366608
110,Master,Everything is Rotten - Remaster 2022,0hM8AIivT8bikiYbSIXins,5,2nEopdTfDVIY9e2UipMKNj,20,"['death metal', 'deathrash', 'grim death metal']",26815
111,Kanye West,True Love,06JvOZ39sK8D8SqiqfaxDU,85,5K4W6rqBFWDnAN6FQUkS6x,90,"['chicago rap', 'rap']",17771064
112,Master,Hell Probably Win - Remaster 2022,7c0xeLh1Dun4gevWAQZKO7,5,2nEopdTfDVIY9e2UipMKNj,20,"['death metal', 'deathrash', 'grim death metal']",26815
113,Quavo,HOTEL LOBBY (Unc & Phew),0QNNd0qMCDbraS1nQPg3aA,83,0VRj0yCOv2FXJNP47XQnx5,78,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",5805645
114,Master,Shoot to Kill - Remaster 2022,5O65MsBzz1cEl3Dmd2QjfN,7,2nEopdTfDVIY9e2UipMKNj,20,"['death metal', 'deathrash', 'grim death metal']",26815
115,Harry Styles,Love Of My Life,1mw0RgNXIpYRyyCdBQbLgA,87,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648
116,Master,All We've Become - Remaster 2022,2i8RxKKuJyEyKvkh6Khant,6,2nEopdTfDVIY9e2UipMKNj,20,"['death metal', 'deathrash', 'grim death metal']",26815
117,Luke Combs,The Kind of Love We Make,28n8z9IQKyjMPxmvYMBqZa,81,718COspgdWOnwOFpJHRZHS,81,"['contemporary country', 'country']",6879341
118,Master,Does One Feel Pain - Remaster 2022,6k3aSULXftjtfvoiLWWkIe,5,2nEopdTfDVIY9e2UipMKNj,20,"['death metal', 'deathrash', 'grim death metal']",26815
