,Unnamed: 0,artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,album_image,preview_url
65,65,Zach Bryan,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,83,40ZNYROS4zLfyyBSs2PGe2,78,['oklahoma country'],502953,0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3WMj8moIAXJhHsyLaqIIHI,228013,3,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb,https://p.scdn.co/mp3-preview/7be5cf801c5eb74f5d97b02e632c9e3c3d36bc8d?cid=2763bb5284cd4f7cbb19087c145dca6f
66,66,Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",3uRUbppUFPsmrccRXSDAjE,33,1l7ZsJRRS8wlW3WfJfPfNS,76,"['dance pop', 'pop', 'post-teen pop']",7050895,0.756,0.809,-3.655,0.0541,0.0173,3.69e-06,0.66,0.64,109.901,3uRUbppUFPsmrccRXSDAjE,264847,4,https://i.scdn.co/image/ab67616d0000b273f0c98099b001e19ca9bc7844,
67,67,Pharrell Williams,Cash In Cash Out,3S68RFe1lsdCdTMPIMJM3X,85,2RdwBSPQiwcmiDo9kixcl8,81,"['hip hop', 'pop']",4047360,0.877,0.56,-3.751,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,3S68RFe1lsdCdTMPIMJM3X,216136,4,https://i.scdn.co/image/ab67616d0000b2738f0df54fd6043164d7c07ae3,https://p.scdn.co/mp3-preview/2d0a8ce9197c0bf02fc617b7dc9d5eca89f0e9fd?cid=2763bb5284cd4f7cbb19087c145dca6f
68,68,Jordan Tavita,100 Years From Now - The Voice Australia 2022 / Grand Finalist Original,423Fvj5rrjrP5TdTTmPLa1,29,3Z8dwcebhUB2AWAkISc0gv,27,"['australian pop', 'australian talent show']",900,0.286,0.469,-8.899,0.0386,0.303,4.98e-05,0.103,0.198,139.333,423Fvj5rrjrP5TdTTmPLa1,225811,4,https://i.scdn.co/image/ab67616d0000b273eba6bea008b4e1a8b761979a,
69,69,Sleepy Hallow,Die Young (feat. 347aidan),6EbVuwU7EnKeF2hdpViXCH,86,6EPlBSH2RSiettczlz7ihV,77,"['brooklyn drill', 'nyc rap']",976588,0.808,0.582,-6.26,0.338,0.827,0.0,0.111,0.675,77.471,6EbVuwU7EnKeF2hdpViXCH,148817,4,https://i.scdn.co/image/ab67616d0000b273e44e304f52a82a3463ce5761,https://p.scdn.co/mp3-preview/b2164af02cc07848a4920f386468836475a05f77?cid=2763bb5284cd4f7cbb19087c145dca6f
70,70,Melina Rai,Pardeshi Mayalu,75BZyT4TyhMxosebOxr1Sn,0,7GbWIycyNLXTGQDvehjunM,35,['nepali pop'],28070,0.614,0.618,-6.792,0.032,0.492,0.0,0.0729,0.587,139.881,75BZyT4TyhMxosebOxr1Sn,272939,4,https://i.scdn.co/image/ab67616d0000b273b0861325dff7df5eda8d55a7,https://p.scdn.co/mp3-preview/b363a3259f7e33edc3808a0e585468937b4459db?cid=2763bb5284cd4f7cbb19087c145dca6f
71,71,Harry Styles,Daylight,51Zw1cKDgkad0CXv23HCMU,88,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648,0.686,0.445,-7.189,0.0398,0.484,0.00144,0.175,0.626,145.5,51Zw1cKDgkad0CXv23HCMU,164533,3,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,https://p.scdn.co/mp3-preview/9b28d8c4c2becdac3115eb7cba9680ef34bf64ab?cid=2763bb5284cd4f7cbb19087c145dca6f
72,72,Ish Kevin,My Year (2022),16TeLUubmneRAhwmRAMbjM,20,27rjDVGfZG4eorQwrZt2ZD,23,['rwandan hip hop'],7033,0.521,0.683,-6.24,0.501,0.159,0.0,0.187,0.737,139.439,16TeLUubmneRAhwmRAMbjM,161808,3,https://i.scdn.co/image/ab67616d0000b273721c0cd06761e2b2d9294432,https://p.scdn.co/mp3-preview/75428feddbe0d33897a0af3b41da0dae305a4d2b?cid=2763bb5284cd4f7cbb19087c145dca6f
73,73,Harry Styles,Matilda,6uvh0In7u1Xn4HgxOfAn8O,89,6KImCVD70vtIoJWnq6nGn3,92,['pop'],22093648,0.507,0.294,-10.0,0.04,0.896,1.97e-05,0.0966,0.386,114.199,6uvh0In7u1Xn4HgxOfAn8O,245964,4,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,https://p.scdn.co/mp3-preview/518523b38559457598c87bcd5765c0c1acbfbf32?cid=2763bb5284cd4f7cbb19087c145dca6f
74,74,Jordan Tavita,100 Years From Now - The Voice Australia 2022 / Grand Finalist Original,6OkHGXt22tcbwkRugFMzoB,25,3Z8dwcebhUB2AWAkISc0gv,27,"['australian pop', 'australian talent show']",900,0.351,0.482,-8.757,0.0373,0.273,2.99e-05,0.106,0.156,139.8,6OkHGXt22tcbwkRugFMzoB,225811,4,https://i.scdn.co/image/ab67616d0000b273898370d3a3983f87c0ba9066,
