,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
61,0.686,0.507,-7.097,0.0357,0.626,7.51e-05,0.383,0.69,168.955,5CM4UuQ9Gnd6K2YyKGPMoK,232115,4
62,0.494,0.939,-3.608,0.0354,0.000768,0.0,0.118,0.645,140.992,47TcNyFx6YGe7OKZHnOfFW,189149,4
63,0.795,0.684,-3.971,0.0419,0.0225,0.0,0.658,0.419,114.011,41oY4WCTj5kccfesTVFnvN,237895,4
64,0.726,0.371,-17.857,0.0722,0.021,0.664,0.114,0.0799,141.059,2lGrMaDv56BVIxNrgT5GY7,60966,4
65,0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3WMj8moIAXJhHsyLaqIIHI,228013,3
66,0.756,0.809,-3.655,0.0541,0.0173,3.69e-06,0.66,0.64,109.901,3uRUbppUFPsmrccRXSDAjE,264847,4
67,0.877,0.56,-3.751,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,3S68RFe1lsdCdTMPIMJM3X,216136,4
68,0.286,0.469,-8.899,0.0386,0.303,4.98e-05,0.103,0.198,139.333,423Fvj5rrjrP5TdTTmPLa1,225811,4
69,0.808,0.582,-6.26,0.338,0.827,0.0,0.111,0.675,77.471,6EbVuwU7EnKeF2hdpViXCH,148817,4
70,0.614,0.618,-6.792,0.032,0.492,0.0,0.0729,0.587,139.881,75BZyT4TyhMxosebOxr1Sn,272939,4
71,0.686,0.445,-7.189,0.0398,0.484,0.00144,0.175,0.626,145.5,51Zw1cKDgkad0CXv23HCMU,164533,3
72,0.521,0.683,-6.24,0.501,0.159,0.0,0.187,0.737,139.439,16TeLUubmneRAhwmRAMbjM,161808,3
73,0.507,0.294,-10.0,0.04,0.896,1.97e-05,0.0966,0.386,114.199,6uvh0In7u1Xn4HgxOfAn8O,245964,4
74,0.351,0.482,-8.757,0.0373,0.273,2.99e-05,0.106,0.156,139.8,6OkHGXt22tcbwkRugFMzoB,225811,4
75,0.787,0.546,-7.094,0.0532,0.305,4.55e-05,0.122,0.222,93.05,5CzixCxDkRXX9mScCmah8O,176936,4
